Number,Name,Formula,Type
11,trichlorofluoromethane,CCl_3F,Methane Series
12,dichlorodifluoromethane,CCl_2F_2,Methane Series
12B1,bromochlorodifluoromethane,CBrClF_2,Methane Series
13,chlorotrifluoromethane,CClF_3,Methane Series
13B1,bromotrifluoromethane,CBrF_3,Methane Series
14e,tetrafluoromethane (carbon tetrafluoride),CF_4,Methane Series
21,dichlorofluoromethane,CHCl_2F,Methane Series
22,chlorodifluoromethane,CHClF_2,Methane Series
23,trifluoromethane,CHF_3,Methane Series
30,dichloromethane (methylene chloride),CH_2Cl_2,Methane Series
31,chlorofluoromethane,CH_2ClF,Methane Series
32,difluoromethane (methylene fluoride),CH_2F_2,Methane Series
40,chloromethane (methyl chloride),CH_3Cl,Methane Series
41,fluoromethane (methyl fluoride),CH_3F,Methane Series
50,methane,CH_4,Methane Series
113,"1,1,2-trichloro-1,2,2-trifluoroethane",CCl_2FCClF_2,Ethane Series
114,"1,2-dichloro-1,1,2,2-tetrafluoromethane",CClF_2CClF_2,Ethane Series
115,chloropentafluoroethane,CClF_2CF_3,Ethane Series
116,hexafluoroethane,CF_3CF_3,Ethane Series
123,"2,2-dichloro-1,1,1-trifluoroethane",CHCl_2CF_3,Ethane Series
124,"2-chloro-1,1,1,2-tetrafluoroethane",CHClFCF_3,Ethane Series
125,pentafluoroethane,CHF_2CF_3,Ethane Series
134a,"1,1,1,2-tetrafluoroethane",CH_2FCF_3,Ethane Series
141b,"1,1-dichloro-1-fluoroethane",CH_3CCl_2F,Ethane Series
142b,"1-chloro-1,1-difluoroethane",CH_3CClF_2,Ethane Series
143a,"1,1,1-trifluoroethane",CH_3CF_3,Ethane Series
152a,"1,1-difluoroethane",CH_3CHF_2,Ethane Series
170,ethane,CH_3CH_3,Ethane Series
E170,Dimethyl Ether,CH3OCH3,Ethers
218,octafluoropropane,CF_3CF_2CF_3,Propane
227ea,"1,1,1,2,3,3,3-heptafluoropropane",CF_3CHFCF_3,Propane
236fa,"1,1,1,3,3,3-hexafluoropropane",CF_3CH_2CF_3,Propane
245fa,"1,1,1,3,3-pentafluoropropane",CHF_2CH_2CF_3,Propane
290,propane,CH_3CH_2CH_3,Propane
C318,octafluorocyclobutane,-(CF_2)_4-,Cyclic Organic Compounds
600,butane,CH_3CH_2CH_2CH_3_A3,hydrocarbons
600a,isobutane,CH(CH_3)_2CH_3_A3,hydrocarbons
601,Pentane,CH_3CH_2CH_2_CH_2CH_3,hydrocarbons
601a,Isopentane,CH(CH_3)_2_CH_2CH_3,hydrocarbons
610,ethyl ether,CH_3CH_2_OCH_2CH_3,oxygen compounds
611,methyl formate,HCOOCH_3,oxygen compounds
620,(Reserved for future assignment),,sulfur compounds
630,methyl amine,CH_3NH_2,Nitrogen Compounds
631,ethyl amine,CH_3CH_2(NH_2),Nitrogen Compounds
702,hydrogen,H_2,Inorganic Compounds
704,helium,He,Inorganic Compounds
717,ammonia,NH_3,Inorganic Compounds
718,water,H_2O,Inorganic Compounds
720,neon,Ne,Inorganic Compounds
728,nitrogen,N_2,Inorganic Compounds
732,oxygen,O_2,Inorganic Compounds
740,argon,Ar,Inorganic Compounds
744,carbon dioxide,CO_2,Inorganic Compounds
744A,nitrous oxide,N_2O,Inorganic Compounds
764,sulfur dioxide,SO_2,Inorganic Compounds
1130(E),"trans-1,2-dichloroethene",CHCl=CHCl,Unsaturated Organic Compounds
1132a,"1,1-difluoroethylene",CF2=CH2,Unsaturated Organic Compounds
1150,ethene (ethylene),CH2=CH2,Unsaturated Organic Compounds
1233zd(E),"trans-1-chloro-3,3,3-trifluoro-1-propene",CF3CH=CHCl,Unsaturated Organic Compounds
1224yd(Z),"(Z)-1-chloro-2,3,3,3-tetrafluoropropene",CF3CF=CHCl,Unsaturated Organic Compounds
1234yf,"2,3,3,3-tetrafluoro-1-propene",CF3CF=CH2,Unsaturated Organic Compounds
1234ze(E),"trans-1,3,3,3-tetrafluoro-1-propene",CF3CH=CHF,Unsaturated Organic Compounds
1270,propene (propylene),CH3CH=CH_2,Unsaturated Organic Compounds
1336mzz(E),"trans-1,1,1,4,4,4-hexafluoro-2-butene",CF3CH=CHCF3,Unsaturated Organic Compounds
1336mzz(Z),"cis-1,1,1,4,4,4-hexaflouro-2-butene",CF3CHCHCF3,Unsaturated Organic Compounds
400,R-12/114 (must be specified) (50.0/50.0) (60.0/40.0),,Refrigerant Blends (Zeotropes)
401A,R-22/152a/124 (53.0/13.0/34.0),,Refrigerant Blends (Zeotropes)
401B,R-22/152a/124 (61.0/11.0/28.0,,Refrigerant Blends (Zeotropes)
401C,R-22/152a/124 (33.0/15.0/52.0),,Refrigerant Blends (Zeotropes)
402A,R-125/290/22 (60.0/2.0/38.0),,Refrigerant Blends (Zeotropes)
402B,R-125/290/22 (38.0/2.0/60.0),,Refrigerant Blends (Zeotropes)
403A,R-290/22/218 (5.0/75.0/20.0),,Refrigerant Blends (Zeotropes)
403B,R-290/22/218 (5.0/56.0/39.0),,Refrigerant Blends (Zeotropes)
404A,R-125/143a/134a (44.0/52.0/4.0),,Refrigerant Blends (Zeotropes)
405A,R-22/152a/142b/C318 (45.0/7.0/5.5/42.5),,Refrigerant Blends (Zeotropes)
